,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
11,0.0335176922704438,-0.0175977709420359,0.0080572960511668,-0.0947872481649518,-0.005954749781704,-0.1116057407434167,0.0104553744380457
12,0.074850335056239,0.002251878230166,0.0048839500427188,-0.0566292470498222,0.0012629535946459,0.0201748298096289,0.0134114184948658
13,0.2373013718908968,0.2104944258251975,0.0040870549530972,0.1290859870350818,0.0058237591526818,0.0247104017414153,0.0225699568839425
19,0.1614559080940181,0.1802810758339191,0.053135449744139,-0.0067920238427547,0.0538914286859483,0.0352824700313211,-0.0482142523537276
21,0.1518734344559067,0.0935694386232136,0.0019862684195545,-0.0230750286154895,-0.0101123389750357,-0.0692111025631861,0.010168769456828
24,0.1296684589517471,0.118562079790338,-0.012714879694619,-0.044622087499891,0.0233751209084406,0.0395732965154046,0.0241398435335656
448,0.1069992508537375,0.0541108828721399,-0.0051270749774847,-0.0800813922379878,-0.002332819928605,-0.0173114127233963,-0.0645012041230088
451,0.0339503857532311,-0.0064463305679212,0.0014383775031744,-0.0249116460150234,-0.0059698538710162,0.0139479142248205,0.019157044220975
454,0.2663128987413306,0.2048268918420655,0.0096862414302946,0.0412183087207759,0.0111213258896121,0.0354335053579321,0.0368129563033737
457,-0.0337913075083065,-0.0470494581898675,-0.0033676649024811,0.0203316319281765,-0.0104250389762522,0.0085098095154616,0.0105652508822901
458,-0.1436551012251969,-0.0688578570670386,0.0026194778881002,-0.0050469355219768,0.0138843881688834,0.0078577022184357,0.0082043159865098
460,0.1446458006705851,0.2541574320255035,0.0071363903994123,-0.0922772052479554,-0.0362588915479828,-0.0595910721729868,0.0169493018728412
652,0.1206276605886615,0.074797773011416,0.0105357886986667,-0.0451177460363106,-0.0031946599463214,-0.0632780881038542,0.0165866034415011
653,0.190993345952612,0.4233035766977402,0.0127135208371769,0.0505703664903368,0.0069312872870376,-0.0402446770781951,0.0198197686869289
657,0.0811857454954346,-0.0207376800047026,0.0066332694343566,0.0426889047467781,0.0022344214580333,0.0249875939669198,0.0273467224405223
659,0.17238179031864,0.2534225388280187,0.0277676586460861,0.0355617917996768,0.0167156030598757,0.0382104676383033,0.0249956718530586
664,0.162259311688409,0.3988377970931686,0.0026534916451329,-0.0058711784640227,0.0370568262522206,-0.0249480647126898,0.0126639309437443
852,0.120119258100319,0.1053446602424631,-0.029314512360492,-0.1009355284332083,-0.0468496087070982,-0.0294592668209529,-0.1286389614299229
853,0.1986860775359699,0.2262542339519778,0.0008461302847034,0.0881043009778661,-0.0033310747043546,0.0129688673512375,0.1493808254984751
859,0.0704251467495273,-0.0388211210570225,-0.0036505622549828,0.0176376391503813,0.0072306904756539,0.0088023474965705,0.0294484689928167
861,0.1587242463255101,0.1203341491757133,0.0078146143274562,0.0371709285654011,0.0198373485373971,0.0310108428474527,0.0424693455394012
862,0.0839298395592984,0.0677301797970638,-0.0049297812627336,0.0459026407528586,-0.0304947462465992,0.0234060045815703,0.0365451126879495
1037,0.0891256434555027,0.0545399549483111,-0.0025646333430545,-0.01714666918411,-0.0464226988750994,0.0286633077820927,0.0233294252536903
