,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
79,-0.0007591383360578,-0.0220433870044317,0.0035757226616014,-0.0757733778128842,0.0186027483334707,-0.0993102298160441,0.0056974653482911
80,0.0632445145876393,0.0540696055342834,-0.0048948230995606,0.016802323542054,-0.0170454153438064,-0.0075340052189159,0.0175008011900288
81,0.116540115137503,0.1418226398956469,0.010627771123046,0.2233924777995582,0.0295885214963158,0.0207606529357864,0.0386988536511533
82,-0.0544602409672424,-0.0888234687889438,-0.0127984683240646,-0.0106049050870958,-0.0235436733431586,-0.0120006673540769,0.0070950030772401
83,-0.025421784684629,-0.092338135951793,-0.0025966529850624,0.0125616910728146,-0.0125315138228155,0.0208178289776795,0.0133804667078763
84,0.1830891437008287,0.314972551738725,0.0066987542875275,-0.0472557765651597,0.0134331131536927,0.0167836989185738,-0.05529290116361
85,-0.0623070552647784,-0.1370434046940378,0.0020963971405941,0.0183079909886238,-0.0077032031436868,0.0107000771913702,0.0066315915797159
86,0.1592151676859152,0.1746695223240481,0.0007603031641223,-0.0283719291240918,-0.0173708843420929,-0.0519171038931279,0.0036370608750447
87,-0.0198306144839003,0.0151614241034317,0.0454890629796708,0.0487118703466694,0.1616819373255849,0.0864433359841464,0.0392453811184706
88,0.0145470828654742,-0.0594609278670624,-0.0077068107634934,0.0252363383411016,0.0196287423424322,0.0244586331121197,0.0141151942173191
89,0.2155818955215961,0.2089421507990438,0.0012194882897213,-0.0131845596489412,0.0274755776338945,0.0050639654089267,-0.0541805923617294
90,-0.118468670441727,-0.0763702802726889,0.0013217393159257,0.0111590143997231,0.0020571269687107,0.0017926452320094,0.0013432625589841
91,0.08275832057388,0.0316837019538845,0.0004924823979112,0.0535080183358265,-0.0015288715390051,0.0058914245065982,0.0238078241245138
92,-0.1439551878743177,-0.0731951163058596,0.0025582079444852,-0.0109798205582935,-0.003753666696669,-0.0058112601229429,0.0037570581863938
93,-0.0894833515377079,-0.0931308450091467,0.0038649486718241,0.0069241361008745,-0.0006430345561108,0.0006569160185043,0.0037735296228459
94,0.1505734668647038,0.1239089105767411,0.0225908504630213,-0.0417289735858128,0.0304069814099719,-0.0034111406107009,0.0154408469765515
95,0.0841898433599155,-0.0098253992121931,-0.001541340373077,-0.0353435941062576,-0.0002360877836883,0.0172642539387978,-0.1153554528112767
96,0.0734605108700854,0.0870487283553107,0.0030538834066511,-0.1528361182584139,0.0130000922893419,-0.011120364756998,-0.0649120416005705
97,-0.064935297214049,-0.0787594842738566,0.0030332351814879,-0.019933293385082,0.0125258789123345,0.004712184567168,0.0096211439048761
98,0.0501486223606661,-0.0122409052964644,-0.004535016873378,-0.0660448322456606,-0.0004373435659484,-0.0107329241080927,-0.1112413726078157
99,-0.1104375013113181,-0.0922077993949148,0.0056278095540767,0.0122414087701394,0.0019602305688598,-0.000256908191722,-0.0002905688662309
100,-0.1135813912504086,-0.097425295319938,0.0046662275399334,0.0254655350966506,0.0048693291758058,0.0040923189633426,0.0036352596490089
101,-0.0158925558757679,-0.0885580706029396,0.0037518844882861,0.0194232440889821,0.0269498428220197,0.0208801701809284,0.0091957738998339
102,0.1892117653746693,0.0909140426219823,0.014248518973449,-0.0621157077689491,0.0426321163570884,-0.0049573818952334,-0.0102886840038334
103,-0.0230770760893874,0.0449091899427202,-0.0015015243276111,0.0700175807102124,0.012396052155895,0.0135425065210743,0.0236733543657365
104,0.1231620597655658,0.0455890450975646,0.0058762178597902,0.0540271308526387,0.00578871860105,0.0524588941309343,0.0365660413678323
105,-0.0218456737781161,-0.037836595051068,0.0026231255151662,-0.049978621194886,-0.0186495111767701,0.0054144315149525,0.007434709827811
106,0.040595068937031,-0.0702029005656839,-0.0008899370755277,0.018178931131349,-0.0120627007679558,0.0047726764164072,0.0168992509418654
107,0.1170606050553295,0.0443619357842355,0.0128431639110037,0.0795732870887902,0.0082413745698199,0.0188856265818637,0.0205688672750591
108,-0.0927691607363561,-0.0678620589815958,-0.0052531195560485,-0.0327077838348658,0.0044723291331439,0.0008243253670658,0.0025943888848086
109,-0.0900104573686362,-0.1008905259787919,-0.0002917394623579,0.0080664802660708,-0.0089227886508676,0.0076743056119116,0.0126266077881065
