,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
126,-0.0881451590344225,-0.0859251502572167,-0.0027015663891407,0.0009680317871206,-0.044447151139583,-0.0011429140919744,0.0023331660716592
127,0.1287916710374879,0.1216500534516248,0.0016668199769894,0.0083536767621623,-0.0080376020238349,0.0818730772663813,-0.0843257666620122
129,0.0095366988272768,-0.0375630820927419,-0.0118273360573866,-0.0165146691195976,0.0027049533139376,-0.0094826482357377,-0.076360314339432
133,0.0740396990484007,0.0393811755643246,-0.010086248513912,-0.0203749824233189,-0.007958560302932,-0.130557713493304,0.0154253459832126
139,0.057987159762777,-0.0203237264376407,-0.0079364137685482,0.0279194902686565,0.0337111460589608,0.0115273870919403,0.0307639740591716
402,0.1461471948597172,0.0458124172179545,0.0199134451319822,0.0640339637143362,0.0217589822262377,0.0508365856540029,0.0237154976283172
403,-0.0625312319598294,-0.1010562010387094,-0.002725081622758,0.0181758615148154,-0.0171865230690386,0.0089554451286212,0.0134734854635492
404,0.0472185063737015,0.3144939114368395,-0.0226337886520971,-0.0596563411912309,-0.0179609272503651,-0.0227815561987776,0.0094899527427398
405,0.1351110257666686,0.397226059682953,0.0068678799188526,-0.002856557690592,-0.0095808183048248,0.0066335823674598,0.0109147674312618
408,0.0344600841646224,0.0465122710716155,-0.0114828335559272,-0.0918305751239512,-0.036379448858381,-0.0025675855678393,0.0222771381762886
410,0.1928622628938766,0.1438859812586935,0.00940113141638,0.0312920228846751,0.0210416127755736,0.0301842925006641,0.0268478642451114
576,0.1274551782284054,0.065785802020068,-0.010362630133524,-0.0668152948609018,-0.0459177542134164,-0.0053340032211923,0.0107909174677238
585,0.1068354469149565,0.0041834635806167,-0.002986793488043,0.0522326239087066,0.0146249313473634,0.0270501566606705,0.0184277854394422
586,0.1617560623724541,0.0270980210641741,0.015376961583231,0.0984610425725005,0.0644371500620685,0.0253607661468145,0.0313744308258368
588,0.0358599491694876,0.0310460010665803,0.0077569728462868,-0.1100624853549188,-0.0002206759972287,0.0059674704974809,0.0134406576644418
819,-0.1006190186674593,-0.0585424150118582,0.0025222789809823,0.0354431504390555,5.084411360691636e-05,0.0040780912879771,0.050185240890052
821,0.0066429439889073,-0.0059412571153568,0.0185577377229843,0.0518993643227644,0.0362386347850265,0.0457318268912079,0.0265032582703407
823,-0.1529132458432572,-0.0838347440367734,0.0067526823625834,0.014782298216537,0.0005632228219437,0.0061595008057342,0.0064417578105834
1117,0.2339237483651869,0.3508886920675352,-0.006079760513014,0.0372773602611871,0.0077761462676096,0.0096836097012255,0.0248998062973964
1217,0.1099409745606797,0.0507774139985777,0.0012116685143673,-0.0018757518697366,-0.001562597608026,-0.0893290037246645,0.0202338714486788
1224,0.0774082934367298,0.0675159678538864,-0.0052682891127645,-0.0233987043821042,0.0046001520673294,-0.0357769212988405,-0.0637986802618087
1225,0.066908051986531,0.0706401092773917,-0.0145014469295341,0.0485256712678059,-0.0383917192902848,0.0167922541082338,0.0222944871065684
1606,0.1161959473090224,0.0604777159147479,-0.0046996018322881,-0.0545025411508024,-0.0132980270429425,0.0279151149612855,0.0212011775768671
