,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
<<<<<<< HEAD
0,0.0005917544203570232,-0.0011448971637436148,0.001181514812279462,0.004364882972435206,0.005077390838855533,-0.022995920214605017,-0.03466882175996192
1,0.0014589160523812267,-0.0012059670558253422,0.007904561241893114,0.017374081312747855,0.02324708630074173,0.016330282882905493,0.04145605239207952
2,-0.00033261700690243837,-0.00033493876161469856,-0.03232310936122911,0.004722307678444826,-0.010316317935353836,-0.03387714830889731,-0.024080204098006226
3,-0.012798493673352136,-0.005301958585744311,0.014298352231386013,-0.02461290879011836,-0.061651367615812684,0.11882786791955012,0.0704663114452422
4,-0.0035076472198824968,-0.0015101766443913155,-0.005189946613579684,0.0016564620265659316,0.025298745718995055,-0.026105576074127865,-0.03648715029594705
5,-0.00795367440466392,0.00022242352376239508,-0.03729008502107854,-0.025332962636927223,-0.018056543527220314,0.0019107502275093583,0.014958117469985415
6,0.04408294854743126,0.017026118732210875,0.010916396907603362,0.03975658014974744,0.013669551760019936,0.034439662196130816,0.05658831708594887
7,0.03493886721582058,0.014409117862587322,0.005833258977769792,0.014077516265928607,0.017836905823846335,0.01742030151469904,0.009535875972522747
8,0.00016061979794410508,-0.0014207595486391508,-0.000651272378945358,0.002799893476214682,0.0030618499860502173,-0.03309671621399503,-0.06346038342773815
9,0.00103858332177826,-0.0020429593571546596,0.0017412377860515416,0.004320999749715128,0.004002851289514184,-0.02378394775344929,-0.03583482986022385
=======
0,-0.0005917544203569478,0.0011448971637448545,-0.0011815148122787612,-0.004364882972437317,-0.005077390838855622,0.022995920214590477,0.03466882175989134
1,-0.001458916052379442,0.001205967055826811,-0.007904561241889391,-0.017374081312746995,-0.023247086300760583,-0.01633028288290033,-0.041456052392193576
2,0.0003326170069020296,0.0003349387616138407,0.03232310936101218,-0.004722307678442973,0.010316317935379932,0.03387714830862515,0.02408020409786051
3,0.012798493673378016,0.00530195858574305,-0.014298352231364506,0.024612908790109165,0.06165136761563241,-0.11882786791958885,-0.07046631144541532
