,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
0,-0.1710568891163323,-0.1113942349931832,-0.0034164209072723,0.0219692425842009,0.0021103618780157,0.0151542194678203,0.009388663537632
1,-0.0950583892416369,-0.0229235431217094,-0.0104758912496572,0.0422703398670714,0.0012442322887463,0.010337102103093,0.0735607944249074
2,-0.1335632795759032,-0.0732398746125837,0.0069931740242624,0.0184757338459607,-0.0094999622861534,0.016620587195075,0.0094637910791663
3,0.0686441755569283,0.0344424280586301,0.0052402521728874,-0.092928666445633,-0.0176569409830385,-0.0127189670163634,0.0240282862646356
4,-0.1438284927894806,-0.1027882163522081,-0.001757944470762,0.0194058689857935,-0.0104511334444521,0.0020404619743664,0.0043880628932874
5,-0.0099840727159838,0.0032522939355372,-0.0078745071712385,-0.0870128866519105,-0.0083692392206532,-0.0562356670868157,-0.0534487585182518
6,-0.1280446956961755,-0.0689364731735771,0.0023175868799745,-0.0361067297979964,-0.0143518032667536,0.0035731622929797,-0.0042883019156115
7,0.1775989150970554,0.1442917924887927,-0.0004115031850156,0.0212832966780962,0.0225216187187893,-0.0777363740374217,0.0289998172900984
8,0.0442788106623949,-0.016527875699743,0.0028376804918197,0.0037691689052084,0.0110147427318951,0.0463872630565205,0.0206656117727751
9,0.0909500345354756,0.0330012144390886,0.0003201248432999,-0.0193557227678908,0.0089127151067473,-0.1004411742499398,0.0127436112115617
10,-0.0649121132767539,-0.0316005371909219,-0.003978879846214,0.044713975716775,0.0019647763724032,0.0047673566154102,0.0601579156635738
11,0.1095817642606782,0.0551761774650979,0.0123774368663328,0.0639649071471871,0.0462461776450075,0.0150427137567443,0.0354760324798588
0,-0.1118839389802766,-0.1155072375302633,0.0038088454232067,0.019239181864091,0.0010729285377988,0.0003469201560785,0.0071702308112774
1,-0.0716998948815894,-0.056597182228819,0.0097333536576614,0.0236307270022139,0.0181141932066979,0.018400216246208,0.0116587230688319
2,0.0013924111658504,-0.039393468562024,0.0034729882435077,-0.0441796176774787,0.0151317299453759,0.003084668308569,0.0160569182276407
3,-0.0267036464971733,0.0100320353161137,-0.0002044532123965,-0.0053296777954764,-0.0200653992297397,0.0321301833584568,0.0274825788123255
4,-0.1093509315256969,-0.0734299555289225,0.001457105673921,0.0300928699325282,0.0044542673915213,0.0180930394713097,0.0114192449343691
5,-0.0316085663919876,-0.1076176809134567,-0.0019896099194583,-0.0355492609204228,-0.0264006939750122,0.0162302147778451,0.0110020859646191
6,0.0683526857540592,0.190154216949923,0.0149624198077952,-0.0092273993237549,-0.0112781229470472,-0.0406494306351999,0.0138285765630633
7,0.0674452177313442,0.0118957565967057,0.0103973462682004,-0.0288973836306758,0.0202978654006469,0.0765888542493202,0.0246504487552523
8,-0.0563760733449464,-0.0452510151215448,-0.0010189372934414,-0.0310677846227731,-0.0127092167762362,0.0282170834032653,0.0153489207213267
9,-0.1143147320341869,-0.0986805558182769,-0.0010918681600073,-0.0090755252154565,-0.011394149719394,0.0041198341032158,0.0098345476838847
10,-0.1153509363066207,-0.0597408945540598,-0.0369470336593325,0.0122930682989714,-0.0092908308192146,0.0074472497766325,0.0127367496594977
11,0.106235670580884,0.0922219289406707,0.0002792435922156,0.0133170656643277,-0.0272880893497096,-0.0507035903240352,-0.0717146694711994
0,0.0914504299660833,0.2156395399785827,0.0021064235400155,0.0662577129103665,0.0235766770218547,0.0077547446157527,-0.0596546104082641
1,0.1078867266816597,0.4130563745964208,0.0014792760274795,0.0787892623345907,0.0110993999514277,0.0067835135486848,-0.0468292377824208
2,-0.0087036514593094,-0.0354053288714448,0.0125861254494245,0.0354663887547458,0.02144570825829,0.0264795411460488,0.0234153548185784
3,-0.0883942238537322,-0.1221466315867028,0.0070706240271721,0.0171023947358726,0.00616110865072,0.0033721703195634,0.0041572381576803
4,0.0802888603920752,-0.0379150966206125,-0.0004360414883193,0.0619328098768416,-0.004866825427427,0.0390060230467021,0.0285668626643842
5,0.0829803117691862,0.0749981147545088,-0.0117593120938876,0.0478007044644636,-0.0051568585656389,-0.0058161120309979,0.0258608929828781
6,-0.1615462144551228,-0.0307384018164079,-0.011365527736702,-0.0181109136288694,-0.0100195715135504,0.0020420318762868,0.0062786961935471
7,-0.0149721876018196,0.0070605029253078,-0.0065965790142552,-0.0194534876772709,-0.0208020779222498,0.0359998317996081,0.0251176651581005
8,0.1190336412783667,0.189662073478328,-0.0076422565606384,-0.1613768565153832,-0.009397133167025,-0.0633822332381543,0.0052735085556486
9,-0.0064367665746717,-0.0448409144794628,-0.0023961418749592,-0.041302306570263,-0.0063127913387222,-0.077286348624811,-0.0434361862309746
10,-0.121829746966635,-0.0683220994596579,0.0061571917971102,0.0116877303207528,0.007567511097725,0.0073005975073854,0.003591749760589
11,-0.0502980340490795,-0.0701005833331111,-0.0062702674215211,-0.040050147074466,-2.463156937920393e-05,0.016365974987224,0.0132713583803364
0,0.0311426910628495,-0.0046673955901351,-0.0056758232712719,-0.0408907997846713,0.0046617524512051,-0.0979976235922772,-0.0850681806061787
1,-0.1206401812379426,-0.0804769920723329,0.0027751619749582,-0.0340348913322512,-0.0182204196614029,0.0049707858035447,0.0034349445578514
2,0.2633395897613866,0.2254651101650197,0.0043389351689449,0.0661891343084659,0.0043182122503285,0.0098463320745857,0.0207688721306098
3,0.1655270396316261,0.1470963960190185,0.0014204261254528,-0.0922209559929559,0.0180263917966708,-0.0190686177066575,-0.0817564305135958
4,-0.0171007474966739,-0.0303483536782844,0.0021188928788364,-0.0471422544193511,-0.0157152257735328,0.0113886160827023,-0.1011459354664023
5,-0.0825604625623177,-0.0755753917522853,9.027618375349507e-05,-0.0237656353102892,-0.0027247990790261,-0.001840425430091,-0.0726461203304349
6,-0.0950665735345395,-0.0674095212742338,0.0049304643208694,-0.0301546738338785,0.0019164954414085,-0.008837511478728,-0.0639869754283003
7,0.0809737868437143,0.0338911302997591,0.005004317938077,0.0374835628044466,0.0012765696987873,0.0228039013372414,0.0279408877919977
8,-0.1456138973154049,0.0820696971848644,-0.0090075911504687,0.0429280911129187,0.0071781407495347,0.0473116118735298,0.0218984046669568
9,0.055855818151805,-0.0263614770587655,-0.0002285315226323,-0.0523840021740074,-0.0009358703923002,-0.0848329461642756,-0.080429405360917
10,-0.0419310629216066,-0.0635870001532197,-0.0001315427792722,0.0075775668483252,-0.0015745663484791,0.0136797358979083,-0.0923825980354578
11,-0.0492916600053848,0.009647097190421,-0.0136012652656044,0.063851784232784,-0.0020596910168092,0.0047943520065512,0.0530136598459688
0,-0.1018225829659546,-0.0441146220974224,0.0052109827727972,0.0361609479252546,0.0076111063777529,0.0054678401578571,0.0118658247349013
1,-0.1258360274114579,-0.0605493963633143,-0.0002378308645375,0.0309876771489516,-0.0005769174026828,0.0019198688612347,0.0484363718433998
2,0.0662668792289533,-0.0366193738975208,0.0102230822700334,0.0324866801610431,-0.0069357435088363,0.0364535803737006,0.0130388743786068
3,0.0439299983725617,0.024111764465349,0.0056008074611767,0.0429102011693955,0.0222618100631601,0.0395168136977645,-0.0970849424443271
4,-0.0773848202104457,-0.0297400859048187,0.0055862473556227,-0.0667634088014491,0.0029598106766096,0.009680802861945,-0.0430658276697781
5,-0.0458455197430784,-0.0151111019470241,-0.0072879772323831,0.048144603590926,0.0076690785395672,0.0005683801242292,0.0013571413367704
6,-0.1059601700453345,-0.1502264825011948,-0.0056494911934673,0.0082434728270418,-0.0076740683685899,0.0042873590961523,0.0051819074854523
7,-0.126516866742883,-0.0620713681010846,0.0029659597886295,0.01632299769514,0.0070999003825692,0.0108469811297895,0.0051714404776106
8,0.1184488813857166,0.0485408874964611,0.0078581678193435,0.0541257092576849,0.0079477909902751,0.0249214941506432,0.0329589608717133
9,-0.0846055172285756,-0.1202866608981248,0.0016593898551917,0.0226683257070534,0.0057966048075481,0.0093864416820568,0.0103265105670628
10,-0.1220150047119563,-0.0597034873267617,0.0056491952770339,-0.0306079139858319,0.0025696084624814,0.0130700675712136,0.0066282274987475
11,-0.0785990912175411,-0.0955702262421354,0.0138678359491899,0.0245344447559243,-0.0159606195170898,0.0150253637143849,0.0166807763963073
0,0.0784704629169815,0.005657025858241,0.0069416363007091,-0.1124386065465411,0.0023390867548737,0.0132077914196913,0.0168575561068673
1,-0.0428377559777678,0.0172310533605962,-0.0125465222199453,0.1832100053530159,-0.001957300556993,0.0055174236496155,0.0254223022756383
2,-0.0316995880953245,-0.0055559535417854,0.0043149592596858,0.0932845231152536,0.0502338764854875,0.0684947141566114,0.0344517325492092
3,0.0538679031901921,0.0095876560172791,0.0116805564996307,-0.0084767978508922,0.0345076464635722,0.0412067918347874,0.0226034850621501
4,-0.1392471409071016,-0.0760599363734357,0.0040354321006679,-0.0436520885383562,0.005373632053903,0.0110745012137348,0.0043998241875435
5,0.1504915797044562,0.147340203520349,0.0050747624110302,0.0130496444030039,0.0037497649622756,0.0093078118458304,-0.0879347912194876
6,0.086969685583371,0.0239415558670644,0.0057269449409966,0.0507634003443336,0.0045088590460063,0.0348127845185312,0.0312776551217387
7,0.0479035710317796,-0.0197170831929896,-0.0074031579133408,-0.0537581906608712,0.0064017707074662,-0.077825928865203,-0.1165106027506191
8,0.0537252443708091,0.0055766078050772,-0.001702109823619,-0.0832752538861715,-0.0020065039651,-0.0446941694839238,-0.065328079630982
9,-0.0499280854155022,-0.0245739723709028,0.0027473474747791,0.061892618957076,-0.0071265572085114,0.0017258425233567,0.0062807178520228
10,0.1279189074841526,0.0402122670988236,-8.516757488733855e-07,0.0492426249886462,-0.0171492223817346,0.0433999640964487,0.0313299696049124
11,0.0902061677227888,0.056803477341808,-0.0143880482360751,-0.0688098094797956,-0.016640918393346,-0.0471080330524005,-0.0552417226817559
0,-0.0500423819529897,-0.0884703182203703,0.000400177297898,-0.0474253422167472,-0.0199032963972823,-0.0014779075428205,0.0095584100362686
