,0
0,0.0729008442677072
1,0.3091005468876407
2,0.1453960714866502
3,0.3191964694248726
4,0.0771545086133706
5,0.0904730643875097
6,0.0643086471396659
7,0.626693464867221
8,0.4225713037376971
9,0.3362767049351686
10,0.3212583958710985
11,0.6480111114377329
0,0.1143928320987387
1,0.2633860378880309
2,0.2657115314682672
3,0.3274875225689361
4,0.1928815421658562
5,0.1342123904389526
6,0.5362888479856648
7,0.4925240071876204
8,0.207288878782476
9,0.0895434526566049
10,0.1212932742127
11,0.3724934614499799
0,0.6572768194412179
1,0.8824112171746691
2,0.3854300399131595
3,0.1374685822673995
4,0.4767224942604706
5,0.5190536430973387
6,0.0866860007360074
7,0.3164995694842469
8,0.3823166456479685
9,0.0881344461229612
10,0.1562988358740958
11,0.1730395717368296
0,0.1116505224863464
1,0.0679543098492507
2,0.904412087676168
3,0.4491701511763851
4,0.1122008939441201
5,0.051123343536135
6,0.0515376060294237
7,0.5195200585308498
8,0.356910358938757
9,0.1208294872957328
10,0.1317964343250239
11,0.3765001788047528
0,0.2305253987220124
1,0.2042896476284197
2,0.4250598808228064
3,0.3913923546019068
4,0.1114186201245117
5,0.2996405064858333
6,0.058348429116886
7,0.1639649464465974
8,0.604947793788664
9,0.1550909963090387
10,0.1257365946017526
11,0.1901243856558663
0,0.3211808546276491
1,0.4841851077009861
2,0.5236701657459639
3,0.4751231430335457
4,0.0760701255537819
5,0.5512248774442836
6,0.5481467872388682
7,0.089236280173048
8,0.1724416372029159
9,0.3011638136291444
10,0.5850995610323263
11,0.2549670150380497
0,0.1127852428207826
1,0.5826859975164118
2,0.0743277700775745
3,0.1491635983217222
4,0.2346988671682341
5,0.1694121704544378
6,0.4697362516571494
7,0.3958611645658507
8,0.0812307829633409
9,0.1697145275444081
10,0.2121520785665014
11,0.3878621826019355
0,0.3668335200154294
1,0.2138422577759304
2,0.1185319958886619
3,0.5690888995614162
4,0.3933950123491111
5,0.3605600930476147
6,0.2784177439802589
7,0.2853133795482325
8,0.7523054065575492
9,0.9680668615565424
10,0.1695992522747876
11,0.3760994884376499
0,0.1567017482534233
1,0.1614685050428186
2,0.0228479850984194
3,0.3608119283594481
4,0.2981187979395767
5,0.4572588366967703
6,0.4209441768501706
7,0.126093101377372
8,0.2246405369207397
9,0.4577080462755299
10,0.2167788173120892
11,0.2706561762219708
0,0.1325421375502069
1,0.3862676057227987
2,0.1904725800581568
3,0.3891373777736815
4,0.215405061194006
5,0.362074033206708
6,0.4760800358651538
7,0.1260081056010777
8,0.1850130510541452
9,0.6737670213790649
10,0.3075626826341822
11,0.2578546598275677
0,0.2618745044669998
1,0.2746545217244721
2,0.3600514665855794
3,0.9725473981416558
4,0.5597348547175292
5,0.0911921756618963
6,0.2116855451584125
7,0.0635568183600204
8,0.5445409339764165
9,0.6086759925098837
10,0.3332811401558293
11,0.3297508159483299
0,0.124673321163049
1,0.1646759295761235
2,0.3067516506987072
3,0.4880391932020532
4,0.1490177784118084
5,0.2793568010095525
6,0.5040397628511651
7,0.3073419309782507
8,0.3167527706775657
9,0.3839861934374846
10,0.1714836271569422
11,0.1682863890774716
0,0.0936400849585358
1,0.1355091923406402
2,0.2068790743550654
3,0.9695400274486686
4,0.1959236533691539
5,0.2817053438144984
6,0.2373972223441102
7,0.1161471642284445
8,0.2528038118659558
9,0.1402935800183417
10,0.1314074045531597
11,0.373303482055227
0,0.291928993588312
1,0.3011389778729149
2,0.6940818366056539
3,0.50799850475302
4,0.3069958025843442
5,0.1660492034347924
6,0.0389958438980487
7,0.265667700778611
8,0.8026122207721006
9,0.3576244573830917
10,0.0794437977705711
11,0.5212956304910806
0,0.6572935167572771
1,0.3364548101587268
2,0.1281226209687214
3,0.5365404859432644
4,0.6210328959677832
5,0.8240407187450991
6,0.3538574619687473
7,0.3955454711384988
8,0.4250124348166126
9,0.0858227219048787
10,0.339173212234391
11,0.1472480320455768
0,0.6010374233954707
1,0.1272521851347154
2,0.6936839027496161
3,0.0956467380437054
4,0.5614721926708773
5,0.1391877506433212
6,0.7286008794280484
7,0.1388580071278679
8,0.8056290258410609
9,0.2579536544586133
10,0.6324977420536937
11,0.4472116099644316
0,0.1716280843960627
1,0.64339143780237
2,0.7062616892138619
3,0.3620324232672481
4,0.1017539364345743
5,0.4502281198600967
6,0.2267035951320901
7,0.3511181939036037
8,0.150155860516493
9,0.4091355422753054
10,0.2621958080393318
11,0.1539060644173536
0,0.1327055618625876
1,0.4307907848064717
2,0.5449569863095748
3,0.1829718824251312
4,0.5546107148441887
5,0.3977584124108159
6,0.6329259458869824
7,0.4672563523521111
8,0.5756582579391912
9,0.1953753161438085
10,0.4950332997875332
11,0.0931680627804844
0,0.25906744158998
1,0.4623980650253664
2,0.0826015564141669
3,0.1501014803302267
4,0.080165915960729
5,0.2540826233703055
6,0.3528456394261722
7,0.2545307152853149
8,0.2455728598551604
9,0.1651780827395796
10,0.4090463899919718
11,0.212570743389949
0,0.1493321158890388
1,0.3532346656202002
2,0.5286665817069994
3,0.0655208876309943
4,0.4424524672327929
5,0.2615816103170237
6,0.2747900940734661
7,0.5180102003689793
8,0.1182081930905493
9,0.3463455528687789
10,0.3219675969312828
11,0.2557930008771236
0,0.1547013169166653
