,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
225397,4,2,3,4,27,10.834989738735,32.438586429986
225399,12,2,3,4,27,16.5087520774304,23.6994197758174
225401,20,2,3,2,27,15.1534765646922,26.2929244121473
225403,30,2,4,4,33,12.1678110192425,33.2803475559272
225832,69,1,3,4,3,18.2929958648505,15.0012793108558
226050,8,2,3,4,3,19.3007458326938,17.7982871962022
226051,8,2,3,4,11,10.1761691123933,36.5632543966301
226055,39,2,3,1,1,8.48293212078148,44.1622073311823
226056,39,2,3,4,29,7.5498938338582,49.3177356582776
226057,43,2,3,4,27,22.1134182905527,18.6624966470965
226059,45,2,3,4,27,25.2288260393588,13.3241237295973
226060,47,2,2,1,1,7.62903181850775,51.0039115829998
226062,50,2,3,4,11,14.973495836299,27.2066595204613
226063,63,2,1,4,33,27.0378784776012,11.9138609812007
226065,73,2,3,4,23,19.3031642666041,21.2768044578356
226066,75,2,1,4,33,26.6460832661028,14.1203022511032
226070,84,2,5,2,27,5.46581043347699,59.2227715813765
226071,92,2,4,4,33,12.1678110192425,33.2803475559272
226210,14,1,3,1,10,11.9014834369686,31.686153225416
226212,24,1,3,4,27,18.5926941206175,22.1508301590028
226213,28,1,3,1,11,9.09115061370954,42.6501849872922
226215,34,1,2,1,11,7.78966623161737,48.6897308503896
226216,45,1,3,4,27,15.9533493694513,25.257035254048
226217,48,1,3,4,27,9.15131414856369,42.2015539057528
226421,9,2,3,2,27,14.4665895305363,28.0854035678833
226423,25,2,2,1,11,8.61396889015327,45.3200565377543
226425,32,2,3,4,27,21.046412804913,19.5992233318474
226426,37,2,3,2,27,17.5011824596658,19.3734592192325
226430,59,2,3,4,27,13.0262679728844,31.3753610392933
226912,0,1,3,2,27,10.1835324764592,17.0344799511156
226920,47,1,3,1,1,12.1207230075331,31.1505671859422
226989,41,2,2,1,11,9.70575131632854,40.8782101418049
226993,55,2,3,4,24,25.8752104019756,14.6399417523846
226997,80,2,3,1,11,7.44269188180061,51.6236972052385
227336,2,1,3,1,11,9.17134534013256,38.4285745807799
227345,45,1,3,4,27,24.3977085254183,17.0382641991263
227543,18,2,2,1,19,6.0384036938315,61.3804331785479
227548,67,2,3,1,1,15.009688095073,20.486115378603
227989,16,2,3,4,8,9.85724448360601,31.9604956233412
227993,45,2,3,1,11,5.36170040981219,68.6120730646156
227994,49,2,3,4,27,16.8237177342642,21.6140768045097
228183,20,1,3,4,27,13.4055701984141,29.81495333521
228186,42,1,3,1,11,7.87545426720684,46.6413396012113
228188,46,1,5,1,11,8.98355163270631,44.1458076230741
228189,49,1,1,4,33,26.5994492684097,12.6078296884206
228190,49,1,5,4,29,20.9141746876385,15.5974303319649
228195,91,1,3,4,27,31.4430151826046,12.7018752674918
228196,92,1,3,4,27,16.6506119006631,15.4688760513129
228468,35,2,3,4,27,15.6557241797074,26.1480751784572
228476,75,2,4,4,33,12.1678110192425,33.2803475559272
228478,82,2,3,4,11,8.84314880864026,44.5491898495141
228499,19,1,4,4,33,12.1678110192425,33.2803475559272
228500,24,1,3,1,11,8.19485407516426,38.6816119408482
228506,64,1,3,4,24,26.3538169301522,15.0328882323522
228509,70,1,3,1,1,7.59087655284862,51.3689498316912
228868,3,2,2,4,11,10.4215926583802,38.6305218239907
228870,6,2,3,2,39,9.48712562592713,41.7618262035844
228878,35,2,2,4,24,28.2729993620702,14.3706690205862
228880,49,2,5,2,24,19.3524494941766,12.131972767172
228882,58,2,3,2,27,8.29190990254474,47.2798021624977
228889,78,2,3,4,38,11.3477921498456,24.0526630045535
229108,12,1,4,4,33,12.1678110192425,33.2803475559272
229111,23,1,3,4,27,14.3179901013078,26.076067859936
229112,25,1,3,2,8,31.0571120902471,13.3642450808103
229116,42,1,3,2,11,9.43046689913819,13.1716130225425
229321,6,1,3,1,11,10.4181143686701,36.3211959861113
229324,22,1,5,4,27,14.0714229943225,29.1568775813741
229337,53,1,3,4,39,10.5013623809557,26.5557383845954
229341,70,1,3,2,27,17.2687021088315,23.8729047323722
229407,56,2,3,4,24,3.91415954475229,86.0201971183441
229598,10,1,4,4,33,12.1678110192425,33.2803475559272
229603,36,1,3,1,1,9.08880001991201,40.5338092518725
229604,44,1,3,1,8,24.1893167706292,17.0408848814367
229607,61,1,2,1,1,5.39884609744262,67.3028105085653
229608,68,1,3,1,1,11.1004870957761,31.0421235333359
229609,75,1,3,4,27,26.494377822374,13.4953753288817
