,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
0,0.0305434903749561,0.0030135020366392,0.0034901396516108,-0.0579899867929698,0.0021777703359095,-0.0723862562729383,-0.079694666601112
1,-0.0454507977721879,0.0248168605123527,-0.0069185945892604,0.0119401005212876,-0.0237702809104879,0.034926407876494,0.0263872164155565
2,-0.1577424600277598,-0.0963616055274993,0.003377331271981,0.0172908301594329,-0.0139294881028566,-0.008541305991521,-0.0011889737144503
3,-0.1728416358276302,-0.1096236398095862,0.0019765728437846,0.014398008737497,-0.0116474090211793,0.0079878589746723,0.0027346219508809
4,-0.1886362454988075,-0.0915452563060212,-0.0029520181009861,0.0158441090153569,-0.005689802629307,0.0045567351210413,0.0021009810043337
5,-0.0381185677137197,-0.124037658131814,-0.0033706770845276,0.0216922986828964,-0.0147719814653549,-0.0014335007446481,0.0081354781288621
6,0.0447456800994218,0.0134578531692299,-0.0008895520686338,-0.1231747986243251,-0.017492678313302,-0.0527771609174017,-0.0513083032530956
7,-0.0571007829279294,-0.0010707164754321,0.0440542038673824,0.1561247605793412,0.0901784176424738,0.0822023066100525,0.0331152920203699
8,-0.0534467158378434,-0.0914379610928265,-0.0013051722762721,0.0093017496610032,-0.0056756438149907,0.0222360093427451,0.014626577090711
0,0.0630326914292668,0.0522456686962975,0.0076961480707344,-0.1191975586971414,-0.0133840664485433,-0.0118719021470205,-0.0636260168781745
1,0.0516286246319215,-0.0564090371739656,-0.0022635675297609,0.0354229078195557,-0.0082352691306511,0.0210288781543235,0.0261340249488777
2,-0.1044026998912933,0.0365501242179723,0.0003482943408746,-0.0011383960076142,-0.019793244467542,-0.0319817947722255,0.0156440509219661
3,0.1829624321783555,0.1813974939024099,0.0011354928543851,0.1047800226987787,-0.0019987942411158,0.0233599830569336,0.1694782947978224
4,-0.090935858552259,-0.079368058928947,0.0027637660396604,0.0269881721558562,0.0169926890706997,0.0154171203095751,0.0144684566094241
5,-0.0170014678491067,0.0292295461047697,0.0395662462267661,0.1045836261874353,0.0826574700289666,0.0572347034965287,0.0247295439174482
6,-0.1351425060704821,-0.1126923990072433,-0.0155937440829062,0.0255402502461175,0.0079652349557606,0.0189870015729406,0.0031852771646628
7,-0.0347582579439681,-0.0106354989116237,-0.0074646469704694,-0.0270496070753927,-0.0098188493747794,0.0283040212157598,0.017710938160662
8,-0.13271383837004,-0.0461035447490088,-0.00551687275966,-0.0225636727984472,0.0008764984269525,-0.0091618280382209,0.0087017774757099
0,0.0100024551358123,-0.0611849303923057,-0.0019770815584376,-0.0591000783166696,-0.0315663052195534,-0.0067759919613036,0.0063090697186303
1,-0.1496785368391971,-0.1039631694243491,0.0055541028739622,0.0224461176706246,-0.0015593731860944,-0.0008867553621356,-0.0023977045996335
2,0.0944078722316396,0.0580060300827094,-0.0018401799645497,-0.0958885461362792,-0.0242295294470071,-0.0273257358672298,-0.0861665620027691
3,-0.1171835314385715,-0.0567187912905787,0.0057217389927338,0.0259853853839271,0.0067337320894173,0.014926409047119,0.0114914602084689
4,-0.0670911309431714,-0.1099044593938678,-0.0025908511743616,0.0317861314600024,-0.0260434922870883,0.0044465616285435,0.0063070242532254
5,-0.1541546302667903,-0.0530980929976939,0.0014096756007677,-0.0242662609510615,-0.0194946992148131,-0.012698650392871,0.0055946311088857
6,0.11481258354246,0.1548273993626431,0.033081687425051,0.1224802361285359,0.0334242802278995,0.035981981719671,0.0334461983996847
7,-0.099940744794358,-0.0938664056210944,-0.0019242327401775,0.0245981883684449,-0.016114507753341,-0.0003174024844871,0.0045559592100891
8,-0.0406419547271686,-0.0835219919845901,0.0021331749617532,-0.0206722504034509,-0.0192085579162432,0.0136565137573614,0.0115827015739739
0,0.0095557127847301,-0.0619496302615615,0.0003238284900848,0.0293741428011685,-0.0166852375068143,0.0182003998984392,0.0116278734748852
1,-0.1339072027178619,-0.1227176357845048,-0.0007166827077388,-0.0010249252610986,-0.0020804623054458,0.0019622007825317,0.0050151325346599
2,-0.1093852643580463,-0.0259121757877665,0.0046642344002698,-0.0391839749954903,-0.0017307592583864,0.0198506294040013,0.0107925829242891
3,0.0165051788864894,-0.0518073348234195,0.0002608006518076,-0.0828849227696307,-0.008897146186272,-0.0727773727671375,-0.0541412860031359
4,0.1805980887208884,0.1358750731776446,0.0102532480519607,0.0987964946232308,0.0794321268961539,0.0620177428252653,0.0483881117191665
5,-0.1310887520839113,-0.1221760820017888,-0.0059441263574955,-0.0242839607037203,-0.0085651475354102,0.0033385924404213,0.0069139203084513
6,-0.1280096476638519,-0.0341059811078701,-0.0074614666940526,0.0292611750371529,-0.0032925655943007,0.0050668493880216,0.0306717092483544
7,0.0409964867666505,0.0273216448962001,-0.0009872479484125,-0.0841004776740651,-0.0016441799828996,-0.0821188648068748,-0.070957545504046
8,0.1147189670762053,0.087000482689714,0.0047770269935201,0.0741197915565614,0.0227389416611648,0.0406626939300491,0.0334754183420988
0,-0.0125391153285655,-0.0422606256427558,0.0004016694490579,0.0122251396643695,0.022243380078276,0.0235166026472779,0.0131301917650246
1,0.0747046254279929,0.0237489242546349,0.0080462095693958,0.0561594665537044,-0.0062884486864728,0.0274735752970538,0.0373270578286086
