,status
233721,0
233723,0
233725,0
233728,0
233734,0
234140,0
234142,0
234143,0
234146,0
234147,1
234288,0
234297,0
234299,0
234300,0
234302,0
234303,0
234599,0
234601,0
234602,0
234604,0
234608,0
234769,1
234778,0
234781,0
234785,0
234988,0
234994,0
234996,0
235003,0
235255,0
235261,1
235263,1
235264,1
235265,0
235453,0
235454,0
235459,0
235462,0
235471,0
235699,1
235706,0
235709,0
235710,0
235711,0
235719,0
236065,0
236066,0
236069,0
236286,0
236290,0
236295,0
236298,1
236461,0
236466,0
236467,0
236473,0
236474,1
236475,0
236774,0
236781,0
236784,0
236787,0
236999,0
237000,0
237004,0
237167,0
237168,0
237169,0
237172,0
237177,0
237179,0
237185,0
237186,0
237189,0
237637,0
237638,0
237650,0
237686,0
238138,0
238139,0
238145,0
238147,0
238151,0
238153,0
238367,0
238368,0
238371,0
238374,0
238375,0
238385,0
238387,0
238388,0
238564,1
238567,0
238575,0
238854,0
238857,0
239075,0
239080,0
239091,0
239096,0
239122,1
239124,0
239129,0
239130,0
239131,0
239134,0
239138,0
239984,1
239987,0
240143,0
240153,0
240155,0
240157,0
240262,1
240263,0
240268,0
240271,0
240272,1
240592,0
240593,0
240597,0
240602,0
240788,0
240791,1
240798,0
240799,0
241199,0
241205,0
241207,0
241210,0
241399,0
241400,0
241406,0
241705,0
241710,0
241717,1
241718,0
