,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
232938,23,2,3,2,27,6.96735398363005,54.4527494536178
232940,24,2,3,4,27,15.0523743340111,26.4526250422736
232942,30,2,3,4,27,18.9989467200674,18.4651796031556
232945,59,2,4,4,33,12.1678110192425,33.2803475559272
232951,92,2,2,1,1,5.38988868159631,67.8354017248536
233356,3,1,5,4,11,14.3327016188019,28.5611234062377
233358,16,1,2,1,1,8.23015784613225,47.8105906663238
233359,19,1,4,4,33,12.1678110192425,33.2803475559272
233362,49,1,1,4,33,27.9819303253825,14.8773853827918
233363,74,1,3,4,27,15.2467117678336,26.6437772025543
233501,3,2,3,4,24,19.1359875394149,21.4128028195205
233510,61,2,3,4,27,8.52769200619517,45.3001706049047
233512,73,2,3,4,11,7.25846685888787,38.7315794812923
233513,77,2,3,4,11,13.2012439459539,30.6432211223266
233515,81,2,3,4,11,8.76844244930109,43.3577280920924
233516,82,2,2,4,27,27.9431614782477,13.9488427894581
233812,2,1,3,4,27,15.6736969845888,26.2458189514684
233814,11,1,3,4,29,14.9634836304977,15.1193785489891
233815,14,1,3,1,11,10.0939940566597,38.6269004757486
233817,32,1,3,4,27,26.1428154086241,14.2867724337899
233821,64,1,2,1,1,6.0211293378549,62.0282556372245
233982,2,2,3,4,39,14.541272051026,28.1711730265541
233991,46,2,3,4,38,13.3343608758051,11.1084896451
233994,47,2,2,1,1,9.19185328928432,42.243222805318
233998,70,2,2,4,27,26.0339694702862,13.7177576006334
234200,6,1,3,2,27,9.08376864388593,38.6819272304903
234206,39,1,3,4,27,20.3857653785814,18.1958680228447
234208,39,1,2,2,24,19.0588989117349,16.4040883657081
234215,78,1,3,4,39,10.0027076448343,40.1169075497678
234465,29,2,2,1,1,7.44269188180061,51.6236972052385
234471,67,2,3,4,8,19.2234366667175,20.6900112372219
234473,69,2,3,1,11,7.61098403955056,50.3857187847178
234474,72,2,3,1,8,7.06867915525948,53.7953966108266
234475,73,2,2,1,11,15.9898477884003,15.2602527196336
234663,13,1,3,1,1,7.45499947065426,52.2970596904868
234664,21,1,3,3,1,13.7930618740629,29.6538870543696
234669,38,1,3,4,29,20.4469301595562,20.2267644486132
234672,45,1,3,4,24,26.5500566624183,15.469892671826
234681,61,1,2,1,1,7.86242772901261,48.0125699317092
234909,8,2,3,4,11,17.1684300371112,23.7403588730893
234916,52,2,3,4,24,17.395811155163,23.6768899768519
234919,64,2,3,2,11,16.7179664429525,18.8209843055627
234920,65,2,3,4,38,26.9112231459649,15.4726180662439
234921,68,2,3,4,27,18.0069431053691,19.0935831606994
234929,92,2,3,2,27,6.57189238086729,42.8825938463319
235274,36,1,3,4,38,10.8562241211449,28.2407912029154
235275,49,1,3,4,19,9.1216452821947,40.6555189552423
235278,89,1,3,1,1,8.2085006793614,46.8784687180953
235493,16,2,3,1,11,3.86622989133284,86.7893414629659
235497,37,2,3,4,11,15.1691413220956,27.0546634026052
235502,58,2,3,4,38,15.5287713716763,26.3857714404996
235505,75,2,3,4,8,8.96489991575548,42.5547282981111
235667,4,1,3,2,38,14.5006466835775,27.9660189918826
235672,17,1,3,2,11,14.4881990314721,27.3063561696351
235673,18,1,3,2,38,13.4334799732096,11.1902645249114
235679,60,1,3,2,11,7.49283035121932,51.9272533542944
235680,64,1,3,1,11,8.00938068988075,47.0749611608679
235681,64,1,2,1,11,8.26248260229981,47.5321165002071
235979,59,2,3,4,27,16.3924350831607,24.7302647042648
235986,82,2,1,4,33,26.1216263199914,13.1290628508642
235989,90,2,2,1,1,3.16137999042329,81.6088341751879
235992,95,2,3,4,24,12.6423974934813,13.0042039533497
236204,13,1,3,4,27,19.4749732808235,14.26164510868
236205,15,1,5,4,8,13.1032484227036,28.3221845396101
236209,30,1,3,4,11,15.1761944182687,26.5464426710543
236372,8,2,3,4,2,20.1464359080042,20.310456883489
236373,13,2,3,1,11,9.35620079518248,40.7092704172001
236374,38,2,3,4,24,14.7995398866251,27.4541193595108
236377,40,2,3,4,27,23.6928544257276,17.07613657493
236382,46,2,3,1,1,10.1176670278165,38.7784153725232
236384,48,2,3,2,39,13.08082674231,22.2626194391633
236390,67,2,3,4,8,10.084923776652,38.9873506774026
236391,71,2,3,4,39,8.75640048518981,31.2707689018528
236394,75,2,3,4,11,7.81397015611122,49.2623351618543
236841,15,1,3,4,11,8.42915338050672,45.7488561452467
236842,20,1,3,2,27,16.4385128934179,22.8779847124073
236854,84,1,3,1,11,3.53788619907138,87.6612049533391
236890,43,2,3,1,11,14.1911099531156,28.8962249090966
237341,24,1,3,4,39,8.93761866137688,38.1712232977879
237342,31,1,3,1,11,9.8197368733449,40.4182909782683
237348,53,1,3,4,27,20.8960368377156,19.8685759276431
237350,57,1,3,2,3,4.36254739118864,79.0775447648141
237354,66,1,3,2,19,17.6156549561003,21.0917994128308
237356,72,1,4,4,33,12.1678110192425,33.2803475559272
237570,5,2,3,4,24,11.4630064677334,31.7476621784514
237571,9,2,3,4,27,30.6714023931448,10.7927602614343
237574,22,2,3,4,19,15.2786448639246,24.4221955869297
237577,44,2,3,1,11,7.64739791049228,32.9346323513535
237578,45,2,2,1,1,8.15806962461095,45.3447009811105
237588,63,2,3,1,11,8.14038544655329,48.2240573114249
237590,74,2,2,4,11,9.70792425666364,24.0758028884626
237591,76,2,3,4,11,8.64328134198115,43.9879615620578
237766,7,1,3,1,11,9.5560239839841,41.9110705121512
237769,24,1,3,3,1,7.81397015611122,49.2623351618543
237777,83,1,3,4,27,14.0850383829339,23.7689002989821
238055,25,2,3,2,24,9.64875055453092,29.2188625032834
238058,38,2,3,2,11,11.2608752519294,12.975658465955
238275,2,1,3,2,27,17.3581613789196,13.0753391312951
238280,13,1,3,4,27,21.0005053143756,18.1139900491259
238291,43,1,2,1,1,7.98092991729203,48.8928305681182
238296,77,1,3,2,38,20.1891189920719,20.52345922124
238322,7,2,3,1,11,10.4301322648589,38.0095959943524
238324,27,2,3,1,11,6.62332682867375,57.4022354068332
