,angleToGoal,distanceToGoal,h_a,lastAction,minute,shotType,situation
6495,-0.1511392991521354,-0.0723022107297606,-0.0035534709737486,0.0529730087360652,0.004999676409504,-0.0179193399346458,0.0510121596515189
6496,-0.1083985629339185,-0.0070259198883263,-0.0047685834741479,0.0478153649101833,-0.0037848871868836,-0.0233430233317592,-0.03642386408835
6497,-0.1551219404423357,-0.0743059180615635,0.0020176746811927,0.0529730087360652,0.0054148793765658,-0.0179193399346458,0.0510121596515189
6498,-0.1333970613051749,-0.0142679441760314,0.000568480796841,-0.0003981320116146,-0.0069106022037458,0.0054462833685978,0.0130294995379255
6499,-0.1156992726666696,-0.0221584191515428,-0.0007452620769506,0.0622614296944928,-0.0167179158667397,0.0002147946761962,-0.0430848306019887
6500,-0.0912351321634662,-0.0361996563630757,-0.0147910381703445,0.0048944666462463,-0.0037848871868836,-0.0233430233317592,0.0285297945760806
6501,-0.1135571548435504,-0.02613401527116,-0.0132547041371932,0.0378636612625343,-0.0233362603555239,-0.0085654215475682,0.011054418899259
6502,-0.1125601482565283,-0.143378437821712,0.000568480796841,-0.0003981320116146,0.0006360597599475,0.0136654818433093,0.1055372196965546
6503,-0.0681981215660671,-0.0574581048230267,-0.0033193504043385,0.0669637011874515,-0.031047564461429,-0.0087660518282276,-0.0341039840975648
6504,-0.1013506105700304,-0.0264858020137851,0.000568480796841,-0.0003981320116146,-0.031047564461429,0.0026972611378605,0.0200868911289553
6505,-0.1333970613051749,-0.0196513627170561,-0.0057027087754502,0.0771793254601794,-0.0114876327299081,0.0002147946761962,-0.0430848306019887
6506,-0.1055679248534131,-0.143378437821712,-0.0035534709737486,0.0023178478438985,0.0003947427788984,0.0083205473363196,0.1055372196965546
6507,-0.1092600990474917,-0.0723022107297606,-0.0035534709737486,0.0728086364946218,-0.031047564461429,-0.0015049196011286,0.0089301523257345
6508,-0.1333970613051749,-0.0743059180615635,-0.0015497636419457,0.0728086364946218,-0.0069106022037458,-0.0048590861684756,0.0122843188930815
6509,-0.1825519785753759,-0.0643509239890183,-0.0039727777253592,0.0130505048338502,-0.0038563149100501,0.0002147946761962,0.1055372196965546
6585,0.0703958823190016,0.0395321172519613,-0.0040596916590011,0.0282235520714268,0.0064921195680727,-0.0699966858014611,0.0063057262090701
6586,0.0633602172953683,-0.0334671996957582,-0.0035534709737486,0.0081160873995491,0.0115329066625237,0.0171339824229146,0.0137704968482213
