,0
0,0.3888500775936752
1,0.7602277712492869
2,0.2000156452297457
3,0.0589873680109293
4,0.4451485426686494
5,0.0448652919002666
6,0.1565235064743154
7,0.1323031110078851
8,0.5338610712094748
9,0.6967036758500594
10,0.2057770857170287
11,0.1169633085560409
12,0.3550845736069352
13,0.9289514129108072
14,0.3574964028838067
15,0.196496315602039
16,0.4707674116584161
17,0.6679294827553137
18,0.4586321219134965
19,0.7239185116213566
20,0.0443824869852119
21,0.4500778962302846
22,0.2746261852563927
23,0.3902279742106028
24,0.5728602879334783
25,0.4026878097821195
26,0.1615510573337593
27,0.4871003482365132
28,0.149989984393681
29,0.2499411389542502
30,0.4726266384580682
31,0.5125439569884456
32,0.0093412801094108
33,0.1113999011470973
34,0.0686585429646248
35,0.1999534352226468
36,0.2321156658836242
37,0.4000538499434356
38,0.1428431317730831
39,0.1039543812541835
40,0.0542071099584195
41,0.1273374426616722
42,0.0957267239323056
43,0.1204883388671345
44,0.1549451981169719
45,0.2026218295674289
46,0.6785738216888817
47,0.3458025997484278
48,0.1328511196723686
49,0.1094530505097369
50,0.2877601428489712
51,0.2666367333880682
52,0.4203778740539981
53,0.4703699894174335
54,0.1303772656035334
55,0.4627489206679099
56,0.4921823160003499
57,0.389312130322978
58,0.4935017907333582
59,0.3203329997504336
60,0.2475344995645845
61,0.3159654450469729
62,0.2344863238813035
63,0.288845540896613
64,0.3568986549484684
65,0.5884939595854062
66,0.686102939847436
67,0.5049828891739906
68,0.7466137286814757
69,0.0646435919628337
70,0.1405736268923355
71,0.2180927597190446
72,0.7571980600016369
73,0.7635265691448815
74,0.1161107265470805
75,0.8162171308394826
76,0.3629579479672761
77,0.1186749657598813
78,0.9086750868000149
79,0.1248682588024384
80,0.4170214566202158
81,0.8763094874675037
82,0.0997420346411506
83,0.2087503547425634
84,0.7273070394990715
85,0.125560849226294
86,0.5355005921183108
87,0.6717808528025673
88,0.3256967076763842
89,0.6857963810710054
90,0.1177132931894304
91,0.4914913557821026
92,0.0634986700012891
93,0.1268407547395765
94,0.5926593975229691
95,0.2340306784407133
96,0.2425731457338996
97,0.161142823121372
98,0.139794683091799
99,0.111515126557383
100,0.1266004392828877
101,0.270628744429836
102,0.5545231250876663
103,0.4348385387071329
104,0.6183465631038687
105,0.1820403210855824
106,0.2921688444459782
107,0.5964133156945952
108,0.1041773757046449
109,0.1231303376339281
110,0.2487169020509488
111,0.2330199671868327
112,0.0176693685841413
113,0.5184271291859788
114,0.1370018392600516
115,0.444017528122011
116,0.2401228349995073
117,0.9067457432278246
118,0.3649135950434379
119,0.782823008265308
120,0.1622288706081812
121,0.2027866410045671
122,0.0533722307910339
123,0.339946093751532
124,0.1616129313221127
125,0.318884861345479
126,0.0758177123749354
127,0.5448503852372917
128,0.276892548625156
129,0.1553720577248112
130,0.8027503733059737
131,0.1101252775528745
132,0.5217246354323432
133,0.2547471712909638
134,0.0243122308468296
135,0.1879161758448261
136,0.0396805989443401
137,0.1096916425741494
138,0.1214351563358247
139,0.4285274724638105
140,0.3173029560613127
141,0.1391776114249767
142,0.1341189609135071
143,0.5630236706914505
144,0.1074257402013327
145,0.3967910166258473
146,0.9647456781827348
147,0.1554091966841572
148,0.1461637994970051
