,status
218117,0
218118,0
218119,1
218120,0
218121,0
218122,0
218123,0
218124,0
218125,0
218126,0
218127,1
218128,0
218129,0
218130,0
218131,1
218132,0
218133,0
218134,1
218135,0
218136,0
218137,1
218138,0
218139,0
218140,0
218141,0
218142,1
218143,0
218144,0
218145,0
218146,0
218147,0
218148,0
218149,0
218150,0
218151,0
218152,1
218153,0
218154,0
218155,1
218156,0
218157,0
218158,0
218159,0
218160,0
218161,0
218162,0
218163,0
218164,0
218165,0
218166,0
218167,0
218168,0
218169,0
218170,0
218171,0
218172,0
218173,0
218174,0
218175,0
218176,0
218177,0
218178,0
218179,0
218180,1
218181,0
218182,0
218183,0
218184,0
218185,0
218186,1
218187,0
218188,0
218189,0
218190,0
218191,0
218192,0
218193,0
218194,0
218195,0
218196,0
218197,0
218198,0
218199,0
218200,0
218201,0
218202,0
218203,0
218204,0
218205,0
218206,0
218207,0
218208,0
218209,0
218210,0
218211,1
218212,0
218213,0
218214,0
218215,0
218216,0
218217,0
218218,1
218219,0
218220,0
218221,0
218222,0
218223,0
218224,0
218225,0
218226,0
218227,0
218228,0
218229,0
218230,0
218231,0
218232,0
218233,0
218234,1
218235,0
218236,0
218237,0
218238,1
218239,0
218240,0
218241,0
218242,0
218243,0
218244,0
218245,0
218246,0
218247,0
218248,0
218249,0
218250,0
218251,0
218252,0
218253,0
218254,0
218255,0
218256,0
218257,0
218258,1
218259,0
218260,0
218261,0
218262,0
218263,0
218264,0
218265,0
218266,0
218267,0
218268,0
218269,0
218270,0
218271,0
218272,0
218273,0
218274,0
218275,0
218276,0
218277,0
218278,0
218279,0
218280,0
218281,0
218282,0
218283,0
218284,0
218285,0
218286,0
218287,0
218288,0
218289,0
218290,0
218291,0
218292,0
218293,0
218294,0
218295,0
218296,1
218297,0
218298,0
218299,1
218300,1
218301,0
218302,0
218303,0
218304,0
218305,0
218306,0
218307,0
218308,0
218309,0
218310,0
218311,1
218312,0
218313,1
218314,0
218315,0
218316,0
218317,1
218318,1
218319,0
218320,0
218321,0
218322,0
218323,0
218324,0
218325,1
218326,0
218327,0
218328,0
218329,0
218330,0
218331,1
218332,0
218333,0
218334,0
218335,0
218336,0
218337,0
218338,1
218339,0
218340,0
218341,0
218342,1
218343,0
218344,0
218345,0
218346,1
218347,0
218348,0
218349,0
218350,0
218351,0
218352,0
218353,0
218354,0
218355,0
218356,0
218357,0
218358,0
218359,1
218360,0
218361,0
218362,0
218363,0
218364,0
218365,0
218366,0
218367,0
218368,0
218369,0
218370,0
218371,0
218372,0
218373,1
218374,0
218375,0
218376,0
218377,0
218378,0
218379,0
218380,0
218381,0
218382,0
218383,1
218384,0
218385,0
218386,0
218387,0
218388,0
218389,0
218390,0
218391,1
218392,1
218393,1
218394,0
218395,0
218396,0
218397,0
218398,0
218399,0
218400,0
218401,0
218402,1
218403,0
218404,0
218405,0
218406,0
218407,0
218408,0
218409,1
218410,1
218411,0
218412,0
218413,0
218414,0
218415,0
218416,0
218417,0
218418,0
218419,1
218420,0
218421,0
218422,0
218423,0
218424,0
218425,0
218426,0
218427,0
218428,0
218429,0
218430,0
218431,0
218432,0
218433,0
218434,0
218435,0
218436,0
218437,0
218438,0
218439,1
218440,0
218441,0
218442,0
218443,0
218444,0
218445,0
218446,0
218447,0
218448,0
218449,0
218450,0
218451,0
218452,1
218453,0
218454,0
218455,0
218456,0
218457,0
218458,0
218459,0
218460,1
218461,0
218462,0
218463,0
218464,0
218465,0
218466,0
218467,0
218468,0
218469,0
218470,0
218471,0
218472,0
218473,0
218474,0
218475,0
218476,0
218477,0
218478,0
218479,0
218480,0
218481,0
218482,0
218483,0
218484,0
218485,0
218486,0
218487,0
218488,0
218489,0
218490,0
218491,0
218492,0
218493,0
218494,0
218495,0
218496,0
218497,0
218498,0
218499,0
218500,0
218501,0
218502,0
218503,0
218504,0
218505,0
218506,0
218507,0
218508,0
218509,0
218510,0
218511,0
218512,0
218513,0
218514,0
218515,0
218516,0
218517,1
218518,0
218519,0
218520,1
218521,0
218522,0
218523,1
218524,0
218525,0
218526,0
218527,0
218528,0
218529,0
218530,0
218531,1
218532,1
218533,0
218534,0
218535,0
218536,1
218537,0
218538,0
218539,0
218540,0
218541,0
218542,0
218543,0
218544,0
218545,0
218546,0
218547,0
218548,0
218549,0
218550,0
218551,0
218552,1
218553,0
218554,0
218555,0
218556,0
218557,0
218558,0
218559,0
218560,0
218561,0
218562,0
218563,0
218564,0
218565,0
218566,0
218567,0
218568,0
218569,0
218570,0
218571,1
218572,0
218573,0
218574,0
218575,0
218576,0
218577,0
218578,0
218579,0
218580,0
218581,1
218582,0
218583,0
218584,0
218585,0
218586,0
218587,0
218588,0
218589,0
218590,0
218591,0
218592,0
218593,0
218594,1
218595,1
218596,0
218597,0
218598,0
218599,0
218600,1
218601,1
218602,0
218603,0
218604,1
218605,0
218606,0
218607,0
218608,0
218609,1
218610,0
218611,0
218612,0
218613,0
218614,0
218615,0
218616,0
218617,0
218618,0
218619,1
218620,0
218621,1
218622,0
218623,0
218624,0
218625,0
218626,0
218627,0
218628,0
218629,0
218630,0
218631,0
218632,0
218633,1
218634,0
218635,0
218636,0
218637,0
218638,0
218639,1
218640,0
218641,0
218642,0
218643,0
218644,0
218645,0
218646,0
218647,0
218648,0
218649,0
218650,0
218651,1
218652,0
218653,0
218654,1
218655,0
218656,0
218657,1
218658,0
218659,0
218660,0
218661,0
218662,0
218663,0
218664,0
218665,0
218666,0
218667,0
218668,0
218669,0
218670,0
218671,0
218672,0
218673,0
218674,0
218675,0
218676,0
218677,0
218678,0
218679,1
218680,0
218681,0
218682,0
218683,0
218684,0
218685,0
218686,0
218687,0
218688,0
218689,0
218690,0
218691,0
218692,0
218693,0
218694,0
218695,0
218696,0
218697,0
218698,0
218699,0
218700,0
218701,1
218702,0
218703,0
218704,0
218705,0
218706,0
218707,0
218708,0
218709,0
218710,0
218711,0
218712,0
218713,0
218714,0
218715,0
218716,0
218717,0
218718,0
218719,0
218720,0
218721,0
218722,0
218723,0
218724,1
218725,0
218726,0
218727,0
218728,0
218729,0
218730,0
218731,0
218732,0
218733,0
218734,1
218735,0
218736,0
218737,0
218738,0
218739,0
218740,0
218741,0
218742,0
218743,0
218744,0
218745,0
218746,0
218747,0
218748,0
218749,1
218750,0
218751,1
218752,0
218753,0
218754,0
218755,1
218756,0
218757,0
218758,1
218759,1
218760,1
218761,0
218762,0
218763,0
218764,0
218765,0
218766,0
218767,0
218768,0
218769,0
218770,0
218771,0
218772,0
218773,1
218774,1
218775,0
218776,1
218777,0
218778,0
218779,0
218780,0
218781,0
218782,0
218783,1
218784,0
218785,0
218786,0
218787,0
218788,0
218789,0
218790,0
218791,0
218792,0
218793,0
218794,0
218795,1
218796,0
218797,0
218798,0
218799,0
218800,0
218801,0
218802,0
218803,0
218804,0
218805,0
218806,0
218807,0
218808,0
218809,0
218810,0
218811,0
218812,0
218813,0
218814,0
218815,0
218816,0
218817,0
218818,0
218819,0
218820,0
218821,0
218822,0
218823,0
218824,0
218825,0
218826,0
218827,0
218828,0
218829,0
218830,0
218831,0
218832,0
218833,0
218834,0
218835,0
218836,0
218837,0
218838,0
218839,0
218840,1
218841,0
218842,0
218843,1
218844,1
218845,0
218846,0
218847,0
218848,0
218849,0
218850,0
218851,0
218852,0
218853,0
218854,0
218855,0
218856,0
218857,0
218858,0
218859,0
218860,0
218861,0
218862,0
218863,0
218864,0
218865,0
218866,0
218867,0
218868,0
218869,0
218870,0
218871,0
218872,0
218873,0
218874,0
218875,1
218876,0
218877,0
218878,1
218879,0
218880,0
218881,1
218882,1
218883,0
218884,0
218885,0
218886,0
218887,0
218888,0
218889,0
218890,0
218891,0
218892,0
218893,0
218894,0
218895,1
218896,0
218897,0
218898,0
218899,0
218900,0
218901,0
218902,1
218903,0
218904,0
218905,0
218906,0
218907,0
218908,0
218909,0
218910,1
218911,0
218912,0
218913,0
218914,0
218915,0
218916,1
218917,0
218918,0
218919,0
218920,0
218921,0
218922,0
218923,1
218924,0
218925,1
218926,0
218927,0
218928,0
218929,0
218930,0
218931,0
218932,0
218933,0
218934,0
218935,0
218936,0
218937,1
218938,0
218939,0
218940,0
218941,1
218942,0
218943,0
218944,0
218945,0
218946,0
218947,0
218948,0
218949,0
218950,0
218951,0
218952,0
218953,0
218954,1
218955,1
218956,0
218957,0
218958,0
218959,0
218960,0
218961,0
218962,0
218963,0
218964,0
218965,0
218966,0
218967,0
218968,0
218969,1
218970,0
218971,0
218972,1
218973,0
218974,0
218975,0
218976,1
218977,0
218978,0
218979,0
218980,0
218981,0
218982,0
218983,0
218984,0
218985,0
218986,0
218987,0
218988,0
218989,0
218990,0
218991,0
218992,1
218993,0
218994,0
218995,0
218996,0
218997,0
218998,0
218999,0
219000,0
219001,0
219002,0
219003,0
219004,0
219005,0
219006,0
219007,1
219008,1
219009,1
219010,0
219011,0
219012,0
219013,0
219014,0
219015,0
219016,0
219017,0
219018,0
219019,0
219020,0
219021,0
219022,0
219023,0
219024,1
219025,0
219026,0
219027,0
219028,0
219029,0
219030,0
219031,0
219032,0
219033,0
219034,0
219035,0
219036,0
219037,0
219038,0
219039,0
219040,0
219041,0
219042,0
219043,0
219044,0
219045,1
219046,1
219047,0
219048,0
219049,0
219050,0
219051,0
219052,0
219053,0
219054,1
219055,0
219056,0
219057,0
219058,0
219059,0
219060,0
219061,0
219062,0
219063,0
219064,0
219065,0
219066,0
219067,0
219068,0
219069,0
219070,1
219071,0
219072,0
219073,1
219074,0
219075,0
219076,0
219077,0
219078,0
219079,0
219080,0
219081,0
219082,0
219083,0
219084,0
219085,1
219086,1
219087,0
219088,0
219089,0
219090,0
219091,0
219092,0
219093,1
219094,0
219095,0
219096,0
219097,0
219098,0
219099,0
219100,0
219101,1
219102,0
219103,0
219104,1
219105,1
219106,0
219107,1
219108,0
219109,0
219110,1
219111,0
219112,0
219113,0
219114,0
219115,1
219116,0
219117,0
219118,0
219119,0
219120,0
219121,0
219122,0
219123,0
219124,0
219125,0
219126,0
219127,0
219128,0
219129,0
219130,0
219131,0
219132,0
219133,0
219134,0
219135,0
219136,0
219137,0
219138,0
219139,0
219140,0
219141,0
219142,0
219143,0
219144,1
219145,0
219146,0
219147,0
219148,0
219149,0
219150,0
219151,0
219152,0
219153,0
219154,0
219155,0
219156,0
219157,1
219158,0
219159,0
219160,0
219161,0
219162,0
219163,0
219164,0
219165,0
219166,0
219167,0
