,status
4984,0
4985,0
4986,0
4987,0
4988,0
4989,0
4990,0
5428,0
5429,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
1218,0
1219,0
5507,1
5508,0
5509,0
5510,0
5511,0
5512,0
5656,0
5657,0
5658,0
3343,0
3344,0
3345,0
3346,0
3347,0
3348,0
3349,0
3350,0
3757,0
8145,0
8146,0
8147,0
8148,0
8149,0
8307,0
8308,0
8309,0
8310,0
6335,0
6336,0
6337,0
6338,0
6339,0
6610,0
6611,0
6612,0
6613,0
7631,0
7632,0
7633,0
7634,0
7635,0
7636,0
7637,0
7638,0
7639,0
2001,0
2002,0
2003,1
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
7164,0
7165,0
7166,0
7167,0
7168,1
7169,0
7170,0
7171,0
7172,0
4256,1
4257,0
4258,0
4259,0
4260,0
4261,0
4262,1
4263,1
4868,0
7649,0
7650,0
8003,0
8004,0
8005,0
8006,0
8007,0
8008,0
8009,0
8694,1
8695,1
8848,1
8849,0
8850,0
8851,0
8852,0
8853,0
8854,0
8855,0
8856,0
8857,0
8858,1
8859,0
6827,0
6828,0
6829,0
6830,0
6831,0
6832,0
6833,0
6834,0
6835,0
3758,0
3759,0
3760,1
3761,1
3762,0
3788,0
3789,0
3790,0
3791,0
4975,0
4976,0
4977,0
4978,0
4979,0
4980,0
4981,0
4982,0
4983,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,1
8010,0
8011,0
8012,0
8013,1
8140,0
8141,0
8142,0
8143,0
8144,0
7334,0
7335,0
7336,0
7337,0
7338,0
7339,0
7340,0
7341,0
7342,0
7640,1
7641,0
7642,0
7643,0
7644,0
7645,0
7646,0
7647,0
7648,0
1653,0
1654,0
1655,0
1656,0
1657,1
1658,0
1659,0
1660,0
1661,0
3792,0
3793,0
3794,0
3795,0
3796,1
3797,0
3798,0
3799,0
3800,0
5498,0
5499,0
5500,0
5501,0
5502,0
5503,0
5504,0
5505,0
5506,0
8311,0
8312,0
8313,0
8314,0
8315,0
8316,1
8317,0
8318,0
8319,0
6614,0
6615,0
6616,0
6617,1
6618,0
6619,0
6620,0
6621,0
6817,0
4074,0
4075,0
4076,0
4077,0
4078,0
4252,0
4253,0
4254,0
4255,0
5659,0
5660,0
5661,0
5662,0
5663,0
5664,0
5665,0
5666,0
5667,0
6836,0
6837,0
6838,0
7158,0
7159,0
7160,0
7161,0
7162,0
7163,0
6290,0
6291,0
6292,0
6293,0
6294,0
6295,0
6296,1
6297,0
6298,0
1220,0
1221,0
1222,0
1223,0
1486,0
1487,0
1488,0
1489,1
1490,0
2811,0
2812,0
2813,1
2814,0
2815,0
2816,0
2817,0
2818,0
2819,0
910,0
911,1
912,0
913,0
914,0
915,0
916,0
960,1
961,0
5668,0
6101,0
6102,0
6103,1
6104,0
6105,0
6106,0
6288,1
6289,0
2091,0
2092,0
2093,0
2322,0
2323,1
2324,0
2325,0
2326,0
2327,0
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3088,0
3341,1
3342,0
532,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
4924,0
4925,0
4926,0
4927,0
4928,0
4929,0
4930,0
4931,0
4974,0
6299,0
6300,0
6301,1
6302,1
6330,0
6331,0
6332,0
6333,0
6334,0
2820,0
2821,0
3075,0
3076,1
3077,1
3078,0
3079,0
3080,0
3081,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2560,0
2561,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
7173,0
7174,0
7327,0
7328,0
7329,0
7330,0
7331,0
7332,1
7333,0
5430,0
5431,0
5432,1
5433,0
5434,0
5435,0
5436,0
5437,0
5497,0
4065,0
4066,0
4067,0
4068,0
4069,0
4070,0
4071,0
4072,0
4073,0
4869,1
4870,0
4871,0
4872,0
4919,1
4920,0
4921,0
4922,1
4923,0
275,0
276,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
1491,1
1492,0
1646,0
1647,0
1648,0
1649,1
1650,0
1651,0
1652,0
6818,0
6819,0
6820,0
6821,0
6822,0
6823,0
6824,0
6825,0
6826,0
2562,0
2563,0
2564,1
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
