,0
0,0.0322426117915657
1,0.150012842982304
2,0.2655817369770838
3,0.1722898629230066
4,0.1022913889952787
5,0.4747604393205318
6,0.0978590917619082
7,0.3563525126088356
8,0.1328925113538931
0,0.2634479811250525
1,0.0796883307130685
2,0.3605577633485327
3,0.2684641610979323
4,0.0242761429337572
5,0.5850102442962212
6,0.1186566192454215
7,0.4695665025947786
8,0.2318195018621791
0,0.9335131420556052
1,0.0553268911176441
2,0.1668487487092229
3,0.5209110910714229
4,0.0587610515363451
5,0.3588565583752769
6,0.0148355677716237
7,0.3009906943477051
8,0.0966570748032657
0,0.1099255666050897
1,0.1028242021712835
2,0.1609980875278504
3,0.3046152994188281
4,0.9664752381607944
5,0.7115356393382817
6,0.0609157927080948
7,0.2582635991412431
8,0.1015533066299255
0,0.614154603489522
1,0.2748983914559866
2,0.116518773485857
3,0.3971825116702379
4,0.2060751383762778
5,0.1877054339440018
6,0.1900198194598453
7,0.1494493463222465
8,0.5267204920003379
0,0.5944893932703073
1,0.234334757861379
2,0.0720638169261802
3,0.4589757755237595
4,0.1665259883169542
5,0.0507007399362854
6,0.206211178325702
7,0.1690691272707212
8,0.408075444016096
0,0.7078514614354932
1,0.0831097782991004
2,0.1602547300984501
3,0.0973024700179966
4,0.0850838913405075
5,0.2428141843724137
6,0.4764247613940396
7,0.1879389701082128
8,0.1191566789526219
0,0.595494442112725
1,0.7124745223790856
2,0.977857294819734
3,0.3933218222216346
4,0.3055605975386085
5,0.7629270511124815
6,0.6672008534902818
7,0.2647549150847725
8,0.0594215081342674
0,0.1565393661961051
1,0.1944037242829309
2,0.8107504379902417
3,0.6256590298781188
4,0.3261604068016125
5,0.3132562860998718
6,0.5414674295071562
7,0.2837956235634437
8,0.1693039484002468
0,0.0961354157506171
1,0.0985813241729683
2,0.097689169561919
3,0.0886096859494661
4,0.6851524503713461
5,0.4092610266867984
6,0.0721641755780348
7,0.1391285862741167
8,0.2348342267180605
0,0.3708223629469152
1,0.1835741475935109
2,0.1159713396074462
3,0.1384824074813824
4,0.4978189252781262
5,0.0944383480900891
6,0.9661768432529346
7,0.8104290410622933
8,0.1228156258948231
0,0.1019681820476749
1,0.5265475701414843
2,0.1426194522505382
3,0.1167178309984564
4,0.0554732590701599
5,0.1641120057107224
6,0.2549043878245115
7,0.0646327638939529
8,0.1231063487673815
0,0.9440879877894154
1,0.9566895359170308
2,0.9183341693437902
3,0.1430068001
4,0.1721769325292606
5,0.4347053785514613
6,0.0530176987309036
7,0.0563117815143956
8,0.6857500397964872
9,0.4416888645281833
10,0.4349254943549497
11,0.0687969617044388
12,0.6450258008730472
13,0.3628790667673452
0,0.0708159743288923
1,0.1292782409259411
2,0.5091925906415878
3,0.5474002298995235
4,0.129332261192943
5,0.6133870251574088
6,0.0593663919927378
7,0.2376177019585887
8,0.3423781272935076
0,0.0769555131009175
1,0.0516670305739246
2,0.8482037924842397
3,0.610309701199958
4,0.4470280403694701
5,0.1249342621454977
6,0.4594286807104238
7,0.3382580578884709
8,0.1522607989495466
0,0.4742989582284447
1,0.4596782052418727
2,0.2751693245811158
3,0.0845824580653643
4,0.2613298143807845
5,0.4996393298180092
6,0.5319688176841205
7,0.2261000703125231
8,0.07148441917956
0,0.1050571099618917
1,0.2927820568905526
2,0.7600175438433747
3,0.1509119645916251
4,0.345153456676739
5,0.3718239373273276
6,0.3452846099702255
7,0.1388991624936771
8,0.2309778791784827
0,0.1226805898315272
1,0.5988031447514952
2,0.0525603717378717
3,0.1572000503332052
4,0.0714974450799746
5,0.0788178037709697
6,0.0747536609699774
7,0.0371358457674499
8,0.858687362607222
0,0.0607331014774124
1,0.0681000992772018
2,0.0875635049736087
3,0.8385299436206137
4,0.0560163939456071
5,0.2171175621300842
6,0.0709542559217736
7,0.1099345961669478
8,0.4384394902897646
0,0.0938718403752076
1,0.1768337878554119
2,0.335575014365829
3,0.175839637791665
4,0.2702998401220203
5,0.1749918781618973
6,0.0675693034750336
7,0.0592060678414155
8,0.2448208873906678
0,0.5624848612683889
1,0.4616481430784842
2,0.1218439158327379
3,0.0734212109803151
4,0.0924726817453452
5,0.4258630282826825
6,0.1800353789223786
7,0.0636140041667812
8,0.0719162051132593
0,0.2105956782913919
1,0.2113418025059706
2,0.4905045945123182
3,0.1145596782600178
4,0.9667424137775265
5,0.5265919111618311
6,0.0411542987622802
7,0.0646788475437127
8,0.5924540849540304
0,0.1162390935315899
1,0.4768411792834001
2,0.1772337173805085
3,0.3368394395440658
4,0.8512572967065939
5,0.3350396389689276
6,0.0542812375939325
7,0.1501468299936323
8,0.0756939043829329
0,0.0998488458054185
1,0.1651563390988479
2,0.2770618971169064
3,0.4687702344015568
4,0.0821794696694213
5,0.0906031823455095
6,0.0968210863961607
7,0.2676814201916279
8,0.1472150915663081
0,0.1338955613013419
1,0.187129919558324
2,0.2101015199488538
3,0.5570204447837688
4,0.2088194560990353
5,0.5383356437685849
6,0.1812128181669492
7,0.0833390421792145
8,0.2058710843940037
0,0.0792145076718384
1,0.3977009689385316
2,0.1931166849014906
3,0.9385812299698169
4,0.1947101650853187
5,0.3378534648036397
6,0.1365643934473173
7,0.1076913563308475
8,0.2579803732478143
0,0.3265234468540543
1,0.2517116662217871
2,0.4683824956372267
